# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7999927428426288,3.8077216154432314,179.91469247370898,0,-3.0,0.2502351074332771,0.0,0.0,0.0
 0.08932077736258111,1.8119600314809683,3.807703797367394,179.91469247370898,-0.2679623320877433,-2.9999999999999996,0.2502351074332771,0.0,-4.646534199477372,0.0
 0.12614696706378212,1.823862196330491,3.8076505300331656,179.74357832382594,-0.3784409011913463,-3.0000000000000004,0.2523425844387046,0.0,-6.09843518796973,0.0
 0.15428848683439053,1.8356996857929537,3.8075620937804713,179.5719590894139,-0.46286546050317157,-3.0,0.2544400484560135,0.0,-7.284211320736137,0.0
 0.1779162989108923,1.8474729482701118,3.8074387689492366,179.39984911320204,-0.5337488967326769,-3.0,0.25652644372549355,0.0,-8.324520770284995,0.0
 0.1986485389543072,1.8591824321637216,3.8072808358793866,179.22726315034606,-0.5959456168629216,-3.0,0.25860069069113284,0.0,-9.26978749107823,0.0
 0.21731636480863664,1.87082858587554,3.8070885749108463,179.05421637175598,-0.6519490944259099,-2.9999999999999987,0.2606616861625247,0.0,-10.146964907827394,0.0
 0.23441428582202944,1.8824118578073228,3.806862266383541,178.8807243672363,-0.7032428574660883,-3.0,0.2627083033610303,0.0,-10.972449041490835,0.0
 0.25026500594327916,1.893932696360826,3.806602190637397,178.70680314843494,-0.7507950178298374,-2.9999999999999964,0.2647393924990945,0.0,-11.757060617800278,0.0
 0.26509303162972503,1.9053915499378065,3.8063086280123377,178.53246915159707,-0.795279094889175,-3.0000000000000036,0.2667537804959883,0.0,-12.508354581605829,0.0
 0.2790620880972518,1.91678886694002,3.8059818588482894,178.3577392401308,-0.8371862642917554,-3.0,0.26875027181462785,0.0,-13.23182715602882,0.0
 0.292295977198856,1.9281250957692229,3.805622163485178,178.18263070693632,-0.8768879315965681,-3.000000000000004,0.2707276484319128,0.0,-13.931603165726356,0.0
 0.30489104097805236,1.9394006848271712,3.8052298222629273,178.00716127651754,-0.9146731229341571,-3.0000000000000044,0.27268467010406117,0.0,-14.610853595684883,0.0
 0.31692402511975787,1.9506160825156214,3.8048051155214635,177.8313491069039,-0.9507720753592737,-3.0,0.274620075232261,0.0,-15.272062511281067,0.0
 0.3284572620677852,1.9617717372363297,3.8043483236007116,177.6552127912762,-0.9853717862033555,-2.9999999999999902,0.2765325808745991,0.0,-15.91720483607208,0.0
 0.33954221282969493,1.9728680973910524,3.803859726840597,177.4787713594011,-1.0186266384890847,-3.0,0.2784208832804119,0.0,-16.547868863624284,0.0
 0.35022196150754903,1.9839056113815454,3.803339605581045,177.3020442787835,-1.050665884522647,-3.0000000000000053,0.280283658534797,0.0,-17.16534312879331,0.0
 0.3605330180287347,1.9948847276095654,3.80278824016198,177.125051455577,-1.0815990540862042,-3.0,0.2821195629460748,0.0,-17.77067953511377,0.0
 0.37050665015641493,2.005805894476868,3.8022059109233286,176.94781323523486,-1.1115199504692448,-3.0,0.2839272339118403,0.0,-18.36474021419615,0.0
 0.38016988689790515,2.0166695603852105,3.801592898205015,176.7703504028491,-1.1405096606937153,-2.9999999999999827,0.285705290077208,0.0,-18.94823294796527,0.0
 0.3895462873288343,2.027476173736348,3.800949482346965,176.59268418327048,-1.168638861986503,-3.0000000000000235,0.2874523323872938,0.0,-19.521738404523457,0.0
 0.3986565386135621,2.0382261829320374,3.800275943689104,176.41483624089054,-1.1959696158406863,-2.999999999999994,0.28916694465887444,0.0,-20.08573137323814,0.0
 0.40751892746164925,2.0489200363740343,3.7995725625713566,176.2368286791627,-1.2225567823849477,-2.999999999999994,0.2908476943805559,0.0,-20.64059755088453,0.0
 0.41614971631933667,2.059558182464096,3.7988396193336484,176.0586840398045,-1.2484491489580098,-2.999999999999987,0.29249313332152976,0.0,-21.186646963542017,0.0
 0.42456344683565767,2.0701410696039773,3.7980773943159045,175.88042530170884,-1.2736903405069728,-3.0,0.29410179857147706,0.0,-21.724124820228468,0.0
 0.4327731870964653,2.0806691461954356,3.7972861678580503,175.70207587954138,-1.2983195612893956,-2.9999999999999933,0.29567221335607413,0.0,-22.253220378354303,0.0
 0.44079073487139053,2.091142860640227,3.7964662203000112,175.523659622012,-1.3223722046141715,-3.0000000000000138,0.2972028878142836,0.0,-22.774074250251836,0.0
 0.44862678608551587,2.101562661340107,3.7956178319817124,175.3452008098327,-1.3458803582565475,-3.0,0.29869232006067825,0.0,-23.286784479547027,0.0
 0.4562910755298084,2.111928996696833,3.794741283243079,175.1667241533546,-1.368873226589425,-2.9999999999999853,0.30013899709620323,0.0,-23.791411637866844,0.0
 0.4637924952104589,2.12224231511216,3.793836854424036,174.98825478986384,-1.3913774856313765,-3.0000000000000075,0.30154139601436447,0.0,-24.28798313100129,0.0
 0.47113919453741815,2.1325030649878447,3.7929048258645093,174.80981828054215,-1.4134175836122542,-2.9999999999999925,0.3028979846780011,0.0,-24.776496863547077,0.0
 0.4783386656501167,2.142711694725644,3.7919454779044237,174.63144060709917,-1.4350159969503498,-2.9999999999999925,0.3042072232341333,0.0,-25.256924385556733,0.0
 0.48539781649267555,2.152868652727313,3.790959090883704,174.4531481680424,-1.4561934494780264,-3.000000000000008,0.30546756497458927,0.0,-25.72921360179832,0.0
 0.4923230337246958,2.1629743873946086,3.7899459451422772,174.27496777464088,-1.476969101174087,-2.999999999999976,0.3066774576681691,0.0,-26.19329114358895,0.0
