# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8771305963664562,4.960295710065105,-179.99264111882107,0,-4.0,-0.021256037157085954,0.0,0.0,0.0
 0.07738126558159869,1.8891063167937003,4.960297248187195,-179.99264111882107,-0.30952506232639476,-4.0,-0.021256037157085954,0.0,0.45568846889011083,0.0
 0.10932326246864799,1.9010337468288214,4.9603018101890015,-179.97808551916634,-0.4372930498745919,-3.9999999999999982,-0.02095813695056264,0.0,0.5849681085210363,0.0
 0.13375854473417337,1.9129132896019032,4.960309317523829,-179.96379165831829,-0.5350341789366935,-4.000000000000003,-0.020650285179295125,0.0,0.683006062887011,0.0
 0.15429640269275222,1.9247453482430295,4.9603196916449805,-179.9497641768139,-0.6171856107710089,-4.0,-0.020332362664632026,0.0,0.7625476866988332,0.0
 0.1723365091288886,1.9365303258822832,4.960332854005761,-179.93600773538319,-0.6893460365155544,-4.0,-0.02000425266994338,0.0,0.8290207116947101,0.0
 0.18859752815943484,1.9482686256497486,4.9603487260594745,-179.9225270138136,-0.7543901126377394,-4.0,-0.019665840796705296,0.0,0.8853711584587246,0.0
 0.2035068732531623,1.9599606506755092,4.960367229259425,-179.90932670967612,-0.8140274930126493,-4.000000000000007,-0.01931701394464617,0.0,0.9334145331345983,0.0
 0.2173433543620787,1.971606804089648,4.960388285058916,-179.89641153712162,-0.8693734174483149,-4.0,-0.018957661395870254,0.0,0.9743624897216479,0.0
 0.23030086426920163,1.9832074890222493,4.960411814911254,-179.8837862255079,-0.9212034570768066,-4.0,-0.018587676575075686,0.0,1.0090692573222197,0.0
 0.2425207463594913,1.9947631086033963,4.9604377402697395,-179.87145551816252,-0.9700829854379653,-4.0,-0.018206953180142538,0.0,1.0381616090451786,0.0
 0.25410983534265585,2.006274065963173,4.960465982587679,-179.85942417089635,-1.0164393413706234,-3.9999999999999902,-0.017815388727069777,0.0,1.0621134842052493,0.0
 0.2651512357278749,2.0177407642316623,4.9604964633183775,-179.8476969506627,-1.0606049429114999,-4.00000000000002,-0.017412884572743963,0.0,1.0812917177402255,0.0
 0.2757111210653563,2.029163606538948,4.960529103915135,-179.836278634107,-1.1028444842614256,-4.000000000000021,-0.01699934261853886,0.0,1.0959855198324677,0.0
 0.28584321489913145,2.040542996015114,4.960563825831261,-179.8251740059796,-1.1433728595965262,-4.0,-0.016574670397981647,0.0,1.1064262437421877,0.0
 0.29559185227990337,2.0518793357902436,4.960600550520056,-179.8143878577408,-1.182367409119614,-4.0,-0.016138779020939933,0.0,1.1128011587818034,0.0
 0.3049941356846474,2.0631730289944206,4.960639199434825,-179.80392498587278,-1.21997654273859,-4.0,-0.015691580597669133,0.0,1.1152632617629084,0.0
 0.3140814927994572,2.074424478757728,4.960679694028871,-179.79379019033613,-1.2563259711978292,-4.0,-0.01523299207076457,0.0,1.1139384916006414,0.0
 0.32288082736258167,2.0856340882102504,4.960721955755501,-179.7839882728658,-1.2915233094503271,-4.0,-0.014762935999964867,0.0,1.1089311045305712,0.0
 0.33141538596405745,2.096802260482071,4.9607659060680165,-179.77452403536918,-1.32566154385623,-3.999999999999974,-0.014281335921527789,0.0,1.1003278072179548,0.0
 0.3397054220955511,2.1079293987032726,4.960811466419723,-179.76540227809085,-1.3588216883822046,-4.0,-0.01378812211579739,0.0,1.0882009223056854,0.0
 0.3477687125934406,2.11901590600394,4.960858558263924,-179.75662779793424,-1.3910748503737627,-4.0,-0.013283228271496162,0.0,1.072610912121527,0.0
 0.35562096471998494,2.1300621855141553,4.960907103053923,-179.74820538661857,-1.42248385887994,-4.0,-0.012766592752950716,0.0,1.053608374963164,0.0
 0.36327614093752547,2.1410686403640034,4.960957022243026,-179.74013982884395,-1.4531045637501019,-3.999999999999971,-0.012238156832184622,0.0,1.0312356608071154,0.0
